Insertion Sort,Aleatorios,97817400
Insertion Sort,Ordenados,145000
Merge Sort,Aleatorios,3360700
Merge Sort,Ordenados,4951800
Quick Sort,Aleatorios,3046500
Quick Sort,Ordenados,116794700
Radix Sort,Aleatorios,20375600
Radix Sort,Ordenados,4204000
Heap Sort,Aleatorios,3059900
Heap Sort,Ordenados,787200
